,제목,tag,story_tag
235,쿠로코의 농구 2기,"이능력, 열혈, 미소년, 먼치킨","우정, 성장, 판타지, 스포츠, 학교, 경기장"
236,어떤 과학의 초전자포 T,"미소녀, 히어로, 이능력, 귀여움","판타지, 액션, SF, 학교, 마을"
237,소드 아트 온라인 앨리시제이션 War of Underworld part 1,"미소녀, 전사, 먼치킨","이세계, 게임, 액션, SF, 하렘, 상상의 장소"
238,(더빙) 늑대아이,nan,"성장, 가족, 육아, 감동, 철학, 슬픔, 판타지, 치유, 집, 농촌"
239,유리 온 아이스,nan,"우정, 경쟁, 감동, 스포츠, 경기장, 공연장"
240,나의 히어로 아카데미아 더 무비 : 히어로즈 라이징,"히어로, 이능력, 먼치킨","우정, 성장, 배틀, 판타지, 액션, SF, 학교, 마을"
241,중2병이라도 사랑이 하고 싶어 -Take On Me-,"미소녀, 오타쿠, 발랄가볍, 교복, 귀여움","우정, 성장, 개그, 로맨스, 학교"
242,가브릴 드롭아웃,악마 또는 천사,"일상, 개그, 학교"
243,마계학교 이루마군,"악마 또는 천사, 마왕, 발랄가볍","마법, 감동, 개그, 사후세계"
244,(더빙) 이누야샤 완결편,요괴 및 괴물,"성장, 배틀, 경쟁, 마법, 이세계, 동양풍, 삼각관계, 슬픔, 판타지, 액션, 로맨스, 시대물"
245,킬라킬,"이능력, 열혈, 싸우는 미소녀","배틀, 판타지, 액션, 개그, 학교, 상상의 장소"
246,Free!-Dive to the Future-,미소년,"우정, 감동, 스포츠, 학교, 경기장"
247,소말리와 숲의 신,nan,"성장, 판타지, 미스터리, 자연, 디스토피아"
248,(더빙) 나의 히어로 아카데미아 3기,"히어로, 이능력, 먼치킨","우정, 성장, 배틀, 판타지, 액션, SF, 학교, 마을"
249,신들에게 주워진 남자,"발랄가볍, 먼치킨","우정, 마법, 이세계, 환생, 감동, 판타지, 일상, 치유, 마을"
250,청의 엑소시스트 교토 부정왕편,"악마 또는 천사, 귀신, 교복, 미소년, 먼치킨, 쌍둥이","퇴마, 판타지, 액션, 개그, 학교, 집, 사후세계, 회사"
251,캐릭캐릭 체인지 part 1,마법소녀,"판타지, 액션, 로맨스, 학교"
252,남자 고교생의 일상,"발랄가볍, 교복","일상, 개그, 학교"
253,(자막) 괴물의 아이,선생님,"성장, 가족, 감동, 판타지, 액션, 개그"
254,던전에서 온천을 추구하면 안 되는 걸까,발랄가볍,"성장, 판타지, 액션, 하렘, 상상의 장소"
255,86 -에이티식스-,로봇,"전쟁, 무거움, 철학, 액션, SF"
256,케이온!! 2기,"미소녀, 발랄가볍, 교복, 귀여움","동아리, 감동, 일상, 개그, 음악, 학교"
257,이윽고 네가 된다,nan,"성장, 동아리, 짝사랑, 연기, 학교, 드라마"
258,"(자막, 무삭제) 이 멋진 세계에 축복을! 2기","마왕, 발랄가볍","마법, 이세계, 서양풍, 판타지, 액션, 개그, 하렘, 상상의 장소"
259,(더빙) 이누야샤 2기,요괴 및 괴물,"성장, 배틀, 경쟁, 마법, 이세계, 동양풍, 삼각관계, 슬픔, 판타지, 액션, 로맨스, 시대물"
260,클라나드 1기,nan,"우정, 성장, 가족, 감동, 슬픔, 로맨스, 치유, 학교, 마을, 드라마"
261,종말에 뭐하세요? 바쁘세요? 구해주실 수 있나요?,nan,"배틀, 마법, 무거움, 슬픔, 판타지, 로맨스"
262,BanG Dream! 2nd Season,"미소녀, 발랄가볍, 아이돌","성장, 감동, 일상, 음악, 학교, 공연장"
263,진격! 거인중학교,군인,"복수, 판타지, 액션, 일상, 개그, 재난, 학교, 마을"
264,다이아몬드 에이스 1기,nan,"우정, 성장, 스포츠, 학교, 경기장"
265,전생했더니 슬라임이었던 건에 대하여 OAD,"요괴 및 괴물, 이능력, 악마 또는 천사, 마왕, 발랄가볍, 먼치킨","마법, 이세계, 전쟁, 환생, 판타지, 액션, 개그, 상상의 장소"
266,유녀전기,먼치킨,"마법, 전쟁, 서양풍, 환생, 무거움, 판타지, 액션, 상상의 장소"
267,천원돌파 그렌라간 : 나암편,로봇,"전쟁, 액션, SF"
268,이세계 콰르텟,발랄가볍,"이세계, 판타지, 개그, 학교"
269,다이아몬드 에이스 3기,nan,"우정, 성장, 스포츠, 학교, 경기장"
270,(자막) 닥터스톤,nan,"생존, 판타지, 액션, SF, 자연"
271,(무삭제) 도쿄 구울 : re,"이능력, 먼치킨","배틀, 생존, 무거움, 판타지, 액션, 미스터리, 스릴러"
272,(더빙) 페어리 테일 1기,nan,"우정, 성장, 배틀, 마법, 판타지, 액션"
273,은혼 포로리편 (4기 연장편),외계인,"동양풍, 판타지, 액션, 개그, 시대물, 무협, 마을, 상점"
274,저 너머의 아스트라,nan,SF
275,BanG Dream! 3rd Season,"미소녀, 발랄가볍, 아이돌","성장, 감동, 일상, 음악, 학교, 공연장"
276,아카메가 벤다!,"이능력, 먼치킨","우정, 두뇌싸움, 정치, 비밀조직, 살인, 무거움, 판타지, 액션, 스릴러, 상상의 장소, 자연"
277,사신 도련님과 검은 메이드,nan,"서양풍, 판타지, 개그, 로맨스"
278,갑철성의 카바네리,"싸우는 미소녀, 좀비","성장, 동양풍, 생존, 무거움, 판타지, 액션, 시대물, 스릴러, 재난, 노이타미나"
279,(더빙) 하이큐!! 승자와 패자,열혈,"우정, 경쟁, 대회, 스포츠, 학교, 경기장"
280,식극의 소마 - 판권 부활,미소녀,"성장, 배틀, 경쟁, 음식, 학교"
281,극장판 이누야샤 세 번째 : 천하패도의 검,요괴 및 괴물,"경쟁, 판타지, 액션, 개그, 로맨스, 시대물"
282,(무삭제) 도쿄 구울 : re part 2,"이능력, 먼치킨","배틀, 생존, 무거움, 판타지, 액션, 미스터리, 스릴러"
283,"그 남자, 그 여자의 사정","미소녀, 주체적 여성, 교복, 미소년, 먼치킨","우정, 성장, 감동, 개그, 로맨스, 학교, 드라마"
284,괴도 키드 1412,"도둑, 탐정, 먼치킨","두뇌싸움, 비밀조직, 복수, 액션, 개그, 로맨스, 추리, 미스터리, 범죄, 학교"
285,언빌리버블 스페이스 러브,nan,"감동, 슬픔, SF, BL"
286,(자막) 헌터X헌터 리메이크 part 6,"이능력, 헌터, 먼치킨","성장, 배틀, 두뇌싸움, 무거움, 판타지, 액션, 상상의 장소, 경기장"
287,원더 에그 프라이어리티,nan,"성장, 감동, SF, 미스터리, 학교, 드라마"
288,러브 라이브! 니지가사키 학원 스쿨 아이돌 동호회,"미소녀, 연예인, 발랄가볍, 교복, 아이돌","우정, 성장, 대회, 음악, 학교, 공연장"
289,은혼 더 파이널,외계인,"동양풍, 판타지, 액션, 개그, 시대물, 무협, 마을, 상점"
290,(더빙) 하이큐!! 재능과 센스,열혈,"우정, 경쟁, 대회, 스포츠, 학교, 경기장"
291,식극의 소마 두 번째 접시,미소녀,"성장, 배틀, 경쟁, 음식, 학교"
292,(더빙) 이누야샤 3기,요괴 및 괴물,"성장, 배틀, 경쟁, 마법, 이세계, 동양풍, 삼각관계, 슬픔, 판타지, 액션, 로맨스, 시대물"
293,천원돌파 그렌라간 : 홍련편,로봇,"전쟁, 액션, SF"
294,슈퍼 러버즈 1기,미소년,"가족, 감동, 개그, BL, 집"
295,Fate/stay night [Heaven`s Feel] Ⅲ.spring song,먼치킨,"성장, 배틀, 마법, 서양풍, 무거움, 철학, 판타지, 액션, 마을"
296,극장판 이누야샤 두 번째 : 거울 속의 몽환성,요괴 및 괴물,"경쟁, 판타지, 액션, 개그, 로맨스, 시대물"
297,좀비 랜드 사가,"미소녀, 좀비, 발랄가볍, 교복, 아이돌","성장, 충격의 1화, 개그, 음악, 마을, 공연장"
298,Fate/Grand Order -절대마수전선 바빌로니아-,먼치킨,"성장, 배틀, 마법, 서양풍, 무거움, 철학, 판타지, 액션, 마을"
299,(더빙) 이누야샤 6기,요괴 및 괴물,"성장, 배틀, 경쟁, 마법, 이세계, 동양풍, 삼각관계, 슬픔, 판타지, 액션, 로맨스, 시대물"
300,후르츠 바스켓 더 파이널,동물,"삼각관계, 감동, 무거움, 슬픔, 판타지, 로맨스, 치유, 학교, 집"
301,이세계 마왕과 소환 소녀의 노예 마술,"미소녀, 먼치킨","마법, 이세계, 판타지, 하렘"
302,크게 휘두르며 1기,열혈,"우정, 성장, 동아리, 스포츠, 학교, 마을"
303,(더빙) 나의 히어로 아카데미아 1기,"히어로, 이능력, 먼치킨","우정, 성장, 배틀, 판타지, 액션, SF, 학교, 마을"
304,아이돌리쉬 세븐 Second BEAT!,"미소년, 아이돌","성장, 감동, 음악, 공연장"
305,XXX HOLiC 1기,nan,"마법, 철학, 몽환, 판타지, 로맨스, SF, 미스터리, 상점"
306,이 용사가 ZZANG센 주제에 너무 신중하다,발랄가볍,"이세계, 판타지, 액션, 개그, 상상의 장소"
307,은혼 최종장: 은빛 영혼편 2부,외계인,"동양풍, 판타지, 액션, 개그, 시대물, 무협, 마을, 상점"
308,로그 호라이즌 2기,"이능력, 먼치킨","이세계, 게임, 서양풍, 판타지, 액션, SF"
309,독점 마이 히어로,nan,"짝사랑, 감동, 개그, BL, 학교, 드라마"
310,마왕학원의 부적합자,"마왕, 먼치킨","마법, 환생, 판타지, 액션, 마을"
311,슈가슈가룬 part 1,발랄가볍,"성장, 경쟁, 마법, 감동, 판타지, 액션, 로맨스, 사후세계"
312,코드기아스 부활의 를르슈,"이능력, 로봇, 미소년, 먼치킨","전쟁, 두뇌싸움, 정치, 복수, 무거움, 판타지, 액션, SF, 학교"
313,(더빙) 지저귀는 새는 날지 않는다,nan,"무거움, BL, 회사"
314,(더빙) 이누야샤 4기,요괴 및 괴물,"성장, 배틀, 경쟁, 마법, 이세계, 동양풍, 삼각관계, 슬픔, 판타지, 액션, 로맨스, 시대물"
315,"거미입니다만, 문제라도?",요괴 및 괴물,"마법, 환생, 판타지, 액션, 개그"
316,우자키 양은 놀고 싶어!,"미소녀, 발랄가볍","개그, 로맨스, 학교, 마을"
317,(자막) 내 이야기!!,교복,"우정, 감동, 개그, 로맨스, 치유, 학교"
318,(자막) 명탐정 코난 1기,"탐정, 먼치킨","두뇌싸움, 비밀조직, 살인, 추리, 미스터리, 범죄, 학교"
319,성녀의 마력은 만능입니다,먼치킨,"마법, 이세계, 판타지, 로맨스, 치유"
320,현자의 손자,먼치킨,"마법, 이세계, 판타지, 액션, 하렘"
321,극장판 카드캡터 체리 첫번째,"마법소녀, 교복","우정, 가족, 마법, 환생, 감동, 몽환, 판타지, 액션, 로맨스, 미스터리, 학교, 마을"
322,피아노의 숲,먼치킨,"우정, 성장, 경쟁, 대회, 감동, 음악, 학교, 공연장"
323,(더빙) 이누야샤 5기,요괴 및 괴물,"성장, 배틀, 경쟁, 마법, 이세계, 동양풍, 삼각관계, 슬픔, 판타지, 액션, 로맨스, 시대물"
324,SHIROBAKO,nan,"우정, 성장, 감동, 회사, 드라마"
325,Fate/stay night [Heaven`s Feel] Ⅱ.lost butterfly,먼치킨,"성장, 배틀, 마법, 서양풍, 무거움, 철학, 판타지, 액션, 마을"
326,극장판 프리! - 테이크 유어 마크 -,미소년,"우정, 감동, 스포츠, 학교, 경기장"
327,(자막) 헌터X헌터 리메이크 part 4,"이능력, 헌터, 먼치킨","성장, 배틀, 두뇌싸움, 무거움, 판타지, 액션, 상상의 장소, 경기장"
328,극장판 이누야샤 네 번째 : 홍련의 봉래도,요괴 및 괴물,"경쟁, 판타지, 액션, 개그, 로맨스, 시대물"
329,벼랑 위의 포뇨,귀여움,"가족, 감동, 몽환, 판타지, 치유, 농촌"
330,슈퍼 러버즈 2기,nan,"감동, 개그, BL, 집"
331,단간론파 : 희망의 학교와 절망의 고교생,nan,"두뇌싸움, 살인, 무거움, 추리, 미스터리, 범죄, 스릴러, 학교"
332,나의 히어로 아카데미아 : 구해라! 구조 훈련!,"히어로, 이능력, 먼치킨","우정, 성장, 배틀, 판타지, 액션, SF, 학교, 마을"
333,리즈와 파랑새,교복,"우정, 성장, 대회, 동아리, 무거움, 음악, 학교, 공연장, 드라마"
334,고양이의 보은,발랄가볍,"이세계, 감동, 몽환, 판타지, 상상의 장소"
335,극장판 프리! – 타임리스 메들리 - 인연,nan,nan
336,불멸의 그대에게 part 2,nan,"성장, 감동, 무거움, 철학, 판타지, 미스터리, 드라마"
337,나의 히어로 아카데미아 : 살아남아라! 결사의 서바이벌 훈련,"히어로, 이능력, 먼치킨","우정, 성장, 배틀, 판타지, 액션, SF, 학교, 마을"
338,5등분의 신부,nan,"일상, 개그, 로맨스, 하렘, 마을, 집"
339,Free! Eternal Summer,미소년,"우정, 감동, 스포츠, 학교, 경기장"
340,이 게임 폐인이 사는 법,nan,"게임, 로맨스, 드라마"
341,극장판 쿠로코의 농구 라스트 게임,"이능력, 열혈, 미소년, 먼치킨","우정, 판타지, 스포츠, 학교, 경기장"
342,호오즈키의 냉철 2기,요괴 및 괴물,"동양풍, 감동, 판타지, 일상, 개그, 사후세계"
343,이세계 콰르텟 2,발랄가볍,"이세계, 판타지, 개그, 학교"
344,(더빙) 하이큐!! 콘셉트의 싸움,열혈,"우정, 경쟁, 대회, 스포츠, 학교, 경기장"
345,곰 곰 곰 베어,"동물, 발랄가볍, 귀여움, 먼치킨","성장, 이세계, 판타지, 치유"
346,다이아몬드 에이스 2기,nan,"우정, 성장, 스포츠, 학교, 경기장"
347,나루토 2기,"이능력, 먼치킨","우정, 성장, 배틀, 전쟁, 동양풍, 복수, 판타지, 액션, 마을"
348,(자막) 헌터X헌터 리메이크 part 5,"이능력, 헌터, 먼치킨","성장, 배틀, 두뇌싸움, 무거움, 판타지, 액션, 상상의 장소, 경기장"
349,벨제붑 아가씨의 뜻대로,"미소녀, 악마 또는 천사, 마왕, 발랄가볍","감동, 판타지, 일상, 개그, 로맨스, 치유, 사후세계"
350,식극의 소마 세 번째 접시,미소녀,"성장, 배틀, 경쟁, 음식, 학교"
351,나이츠 앤 매직,"로봇, 발랄가볍","이세계, 전쟁, 환생, 판타지, 액션, 개그, 상상의 장소"
352,(자막) 블랙 클로버 1기,열혈,"성장, 경쟁, 마법, 판타지, 액션"
353,니세모노가타리,"미소녀, 요괴 및 괴물, 뱀파이어","판타지, 액션, 개그, 하렘, 미스터리"
354,우마무스메 : 프리티 더비 2기,"미소녀, 동물, 발랄가볍","우정, 성장, 경쟁, 감동, 스포츠, 경기장"
355,바람이 강하게 불고 있다,nan,"우정, 성장, 스포츠, 학교"
356,치하야후루 3기,"열혈, 주체적 여성","성장, 동아리, 삼각관계, 짝사랑, 감동, 로맨스, 스포츠, 학교, 경기장, 드라마"
357,Fate/stay night,먼치킨,"성장, 배틀, 마법, 서양풍, 무거움, 철학, 판타지, 액션, 마을"
358,(더빙) 일하는 세포,nan,"지식전달, 판타지, 액션, 일상, 개그"
359,Re : 제로부터 시작하는 이세계 생활 - 빙결의 인연,"히어로, 이능력","마법, 이세계, 루프물, 판타지, 액션, SF"
360,XXX HOLiC 2기,nan,"마법, 철학, 몽환, 판타지, 로맨스, SF, 미스터리, 상점"
361,(무삭제) 소드 아트 온라인 앨리시제이션 War of Underworld part 1,"미소녀, 전사, 먼치킨","이세계, 게임, 액션, SF, 하렘, 상상의 장소"
362,리라이프 - 판권 부활,교복,"성장, 감동, 로맨스, SF, 학교, 드라마"
363,"우리 딸을 위해서라면, 나는 마왕도 쓰러뜨릴 수 있을지 몰라",nan,"가족, 마법, 육아, 감동, 판타지, 치유, 마을"
364,겁쟁이 페달 1기,"열혈, 오타쿠, 먼치킨","우정, 성장, 경쟁, 동아리, 감동, 스포츠, 학교, 마을, 경기장"
365,극장판 프리! – 타임리스 메들리 - 약속,nan,nan
366,소녀☆가극 레뷰 스타라이트,싸우는 미소녀,"배틀, 연기, 판타지, 액션, 음악, 학교, 공연장"
367,데카당스,nan,"액션, SF"
368,(무삭제) 일하는 세포,nan,"지식전달, 판타지, 액션, 일상, 개그"
369,(무삭제) 유녀전기,먼치킨,"마법, 전쟁, 서양풍, 환생, 무거움, 판타지, 액션, 상상의 장소"
370,달의 요정 세일러 문,"미소녀, 마법소녀, 싸우는 미소녀, 교복","판타지, 액션, 개그, 로맨스, 학교"
371,데스마치에서 시작되는 이세계 광상곡,"미소녀, 먼치킨","이세계, 여행, 판타지, 액션, 일상, 하렘, 상상의 장소"
372,우치타마?! ~우리집 타마를 모르시나요?~,발랄가볍,"판타지, 일상, 개그, 치유, 마을, 노이타미나"
373,이 소리에 모여! part 2,발랄가볍,"우정, 성장, 동아리, 감동, 음악, 학교"
374,러브 라이브! 1기,"미소녀, 연예인, 발랄가볍, 교복, 아이돌","우정, 성장, 대회, 음악, 학교, 공연장"
375,치하야후루 1기 - 판권 부활,열혈,"성장, 동아리, 삼각관계, 짝사랑, 감동, 로맨스, 스포츠, 학교, 경기장, 드라마"
376,늑대소녀와 흑왕자,"발랄가볍, 미소년","짝사랑, 개그, 로맨스, 학교"
377,학전도시 애스터리스크,"이능력, 싸우는 미소녀, 발랄가볍, 먼치킨","배틀, 대회, 판타지, 액션, 로맨스, SF, 하렘, 학교, 경기장"
378,이웃집 흡혈귀 씨,"미소녀, 뱀파이어","우정, 감동, 일상, 개그, 치유, 집"
379,원피스: 에피소드 오브 메리 ~또 하나의 동료 이야기~,"이능력, 카리스마","우정, 성장, 배틀, 판타지, 액션, 개그, 바다, 섬"
380,아이돌 마스터,"미소녀, 연예인, 발랄가볍, 아이돌","우정, 성장, 감동, 음악, 학교"
